Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
59	618.16364	123.32518	777.4672	462.38388	1051.2249	148.76953	1407.5028	855.12555	1000.0	1000.0	235999	86.94059	86.94042	-86.170105	13.25919	1.4424094	0.07447754	1.7478994	1.1858127	0.8846481	0.052044928	1.0018538	0.7770671	5710.089260339737
60	682.3895	150.60219	823.4298	434.74252	450.90967	19.911352	490.73663	431.17584	1000.0	1000.0	239999	85.47022	85.4703	-84.64043	13.709789	1.4418505	0.075942695	1.7226613	1.1688589	0.9756204	0.04939232	1.0919167	0.8793088	5807.090765476227
61	785.2338	276.2684	1088.8656	417.95322	557.5636	165.29701	860.11273	386.5861	1000.0	1000.0	243999	86.00898	86.00945	-85.26604	13.987623	1.4376174	0.06776664	1.6878563	1.1853604	0.93169105	0.035054598	1.0192548	0.85551846	5904.1858677864075
62	690.64105	349.04028	1192.5104	291.6103	807.5005	369.80902	1313.9307	204.09836	1000.0	1000.0	247999	85.77399	85.77439	-85.00106	13.426894	1.4412299	0.07303451	1.7342305	1.1851263	0.9293719	0.045299515	1.0427439	0.8413801	6001.632152080536
63	772.98047	188.85278	982.499	537.8335	794.5099	202.13731	1097.0005	455.97107	1000.0	1000.0	251999	86.20547	86.20579	-85.42477	13.201793	1.4410466	0.08531752	1.7496245	1.1699055	0.9582686	0.04042683	1.042562	0.85457605	6098.641373157501
64	662.76294	241.88414	1004.3618	351.02203	400.0956	7.3627877	414.2235	386.325	1000.0	1000.0	255999	87.55441	87.55418	-86.812904	12.830069	1.4377294	0.074131325	1.7708497	1.198142	0.9581221	0.06737167	1.1328795	0.81237435	6195.803340911865
65	705.8083	165.86652	872.3304	458.13345	915.5239	226.22397	1412.0167	623.9616	1000.0	1000.0	259999	87.74609	87.74623	-87.05834	13.094604	1.438684	0.077538595	1.7330967	1.2103494	0.8576205	0.03183082	0.9333352	0.7889941	6293.360183954239
66	917.74854	254.68394	1222.111	524.40173	766.2378	158.88087	937.11993	517.74567	1000.0	1000.0	263999	87.49633	87.49651	-86.73345	13.743715	1.4445997	0.07929784	1.7740268	1.2055285	0.93337315	0.08612998	1.1385925	0.79395825	6390.410850763321
67	791.3944	72.33837	880.20667	696.3212	1879.5846	39.281147	1951.6115	1808.6743	1000.0	1000.0	267999	89.65649	89.65616	-88.90655	13.495395	1.4362559	0.07128966	1.6774982	1.1860877	1.0097961	0.09916615	1.216231	0.84537536	6488.478807926178
68	909.62335	314.16006	1371.4836	506.65558	1257.9425	137.35165	1513.9148	1068.0289	1000.0	1000.0	271999	89.88439	89.88419	-89.17487	13.07829	1.4393882	0.07222869	1.7103641	1.2025105	0.86119264	0.041334465	0.9889963	0.78597647	6585.516826868057
