Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
50	120049.02	107.27059	120202.0	119901.34	119155.42	122.10632	119462.92	119011.37	1000.0	1000.0	199999	10893.896	480.63467	12471.118	6792.7725	10893.8955	480.69885	13144.548	6288.7207	48.051334	5.9302907	72.8813	7.0767326	-10882.168	1810.8296	4270.10262131691
51	119925.0	181.18983	120068.61	119615.04	119670.45	74.3072	119748.79	119545.234	1000.0	1000.0	203999	10895.53	475.5643	12336.967	7782.857	10895.527	475.56326	12238.546	7550.776	47.82749	5.7898135	77.772606	3.770691	-10885.073	1502.3276	4356.124521017075
52	119869.85	125.95162	120081.52	119760.13	120145.69	44.96048	120224.08	120091.06	1000.0	1000.0	207999	10901.315	467.9956	12267.949	7788.129	10901.325	467.92517	12322.057	7608.3003	47.979626	5.850064	72.77512	8.185612	-10890.164	1619.3772	4441.393050909042
53	120118.125	29.954077	120154.24	120071.27	119983.05	51.716007	120048.48	119899.734	1000.0	1000.0	211999	10904.662	462.08762	11855.933	7554.6577	10904.651	462.17667	12071.756	7657.933	48.21001	5.969522	71.740906	8.061661	-10893.558	1510.7155	4528.302255392075
54	120012.914	74.77253	120124.99	119914.76	120115.92	38.384583	120189.6	120063.21	1000.0	1000.0	215999	10906.641	459.31302	12657.834	7773.312	10906.641	459.36682	12137.374	7619.0547	48.063053	5.9399967	73.91885	11.288473	-10895.083	1575.0505	4613.886223554611
55	120033.96	125.82327	120180.71	119854.78	119934.46	44.43152	119994.05	119836.336	1000.0	1000.0	219999	10906.743	459.357	12145.954	7657.035	10906.745	459.33325	12639.375	7575.898	48.05959	5.883311	70.42097	5.212635	-10895.116	1451.3135	4700.0107226371765
56	120000.484	58.19118	120068.516	119914.55	120042.75	45.387756	120112.84	119956.805	1000.0	1000.0	223999	10912.79	448.63922	12262.914	7735.3877	10912.791	448.64343	13180.626	7754.8813	48.11686	5.86801	72.700645	7.8774433	-10901.186	1500.3533	4788.1009883880615
57	120077.266	57.715168	120139.83	120007.04	120128.164	25.196993	120164.4	120080.08	1000.0	1000.0	227999	10917.157	440.54312	12618.103	7776.104	10917.154	440.58997	12054.257	7734.8823	48.487656	5.8755126	82.339005	9.4969635	-10906.249	1402.3528	4873.77547121048
58	120089.73	39.24344	120133.18	120039.67	120047.45	42.01575	120107.06	119958.35	1000.0	1000.0	231999	10920.832	434.48627	13178.752	7667.7754	10920.835	434.48233	12914.353	7368.4736	48.424713	5.9151945	77.83346	2.4218884	-10909.895	1428.5505	4960.325105667114
59	119965.59	60.485477	120022.53	119878.33	119939.9	37.63951	120005.375	119875.664	1000.0	1000.0	235999	10922.146	429.17133	12544.019	7268.089	10922.154	429.11414	12277.433	5600.0034	48.10262	5.79126	73.82509	5.420685	-10910.68	1595.7532	5046.8452961444855
60	120051.125	110.72362	120209.19	119942.27	120136.3	45.589443	120200.336	120055.7	1000.0	1000.0	239999	10922.949	427.30392	12462.721	7581.781	10922.945	427.29187	12323.717	7843.0454	48.29949	5.870147	76.459854	7.8510284	-10911.83	1291.1635	5134.1554317474365
61	120088.55	50.298054	120172.12	120043.37	119980.71	50.760952	120047.08	119871.48	1000.0	1000.0	243999	10923.703	427.65878	12245.702	7802.9165	10923.708	427.67508	12177.848	7466.178	48.28837	5.8922925	78.01694	2.6190224	-10912.237	1425.4772	5220.39654135704
62	120081.93	59.015114	120172.266	120008.23	120090.44	38.848923	120152.11	120037.625	1000.0	1000.0	247999	10923.988	424.75647	12369.306	7532.79	10923.982	424.8044	12672.557	6485.3936	48.3742	5.8350415	72.27243	9.253296	-10913.257	1294.3015	5306.490439891815
63	120101.56	67.19119	120166.86	119990.42	120130.86	20.744173	120169.26	120093.38	1000.0	1000.0	251999	10924.663	424.83948	12096.354	7641.699	10924.656	424.88693	12247.683	7677.583	48.39691	5.9013395	69.76906	9.034319	-10912.998	1355.5558	5393.027782678604
64	120050.39	101.49076	120205.61	119921.97	119993.3	33.851406	120068.945	119935.77	1000.0	1000.0	255999	10926.517	421.61157	11796.799	7781.3784	10926.517	421.63025	11660.509	7672.7515	48.35433	5.8406496	72.79667	8.539776	-10915.682	1256.514	5480.750592708588
65	120046.32	120.21647	120224.63	119885.99	120137.27	42.443676	120205.44	120082.46	1000.0	1000.0	259999	10929.516	414.91125	12127.406	7703.056	10929.516	414.89105	11866.949	7566.0273	48.54398	5.878377	76.449715	10.328009	-10918.336	1256.6987	5568.2305517196655
66	120101.74	26.780413	120139.63	120064.055	120091.5	33.28266	120148.05	120050.04	1000.0	1000.0	263999	10930.775	412.99667	13004.771	6074.2627	10930.781	412.8803	12198.186	7047.5747	48.73537	5.8077517	71.926186	12.232857	-10918.413	1490.6913	5654.950719356537
67	120043.03	40.455242	120096.57	120000.16	117895.48	624.26416	119405.46	117270.44	1000.0	1000.0	267999	10931.585	409.64633	12117.809	7363.322	10931.585	409.63425	11810.925	6223.914	48.596046	5.764438	75.419655	9.493065	-10919.636	1188.7054	5741.7540807724
68	120064.95	75.46858	120155.86	119953.27	120138.54	51.700497	120226.38	120026.734	1000.0	1000.0	271999	10932.58	406.00845	13175.343	7206.552	10932.572	406.0697	11992.824	6719.6265	48.99133	5.806311	73.47328	11.036926	-10920.648	1298.7853	5827.936505317688
69	119993.28	152.40794	120165.24	119750.62	117169.836	36.314846	117227.375	117095.164	1000.0	1000.0	275999	10934.415	402.79123	11603.402	7696.676	10934.415	402.83182	11675.517	7755.7573	48.59342	5.719037	75.31268	11.299765	-10923.611	1154.2297	5914.142493724823
70	119884.57	302.597	120159.7	119372.29	120057.58	41.754536	120097.72	119946.875	1000.0	1000.0	279999	10936.398	401.00195	13529.265	7432.521	10936.408	400.89615	12182.102	7639.8887	48.503075	5.708299	74.854256	5.1670456	-10924.072	1339.0634	5999.826574087143
71	119977.34	131.70215	120150.79	119847.39	120091.33	39.679962	120150.77	120003.8	1000.0	1000.0	283999	10936.367	399.81815	11765.582	7495.486	10936.362	399.91498	12208.518	7446.321	48.642075	5.7391963	81.52249	8.272913	-10924.978	1193.1691	6086.0864341259
72	120157.664	31.62871	120205.48	120116.53	120132.67	32.93757	120183.33	120074.54	1000.0	1000.0	287999	10934.887	404.20322	12789.593	7209.46	10934.8955	404.10114	12349.959	7287.4424	49.05508	5.761659	72.41922	8.642334	-10922.126	1377.8829	6171.639592170715
73	120014.61	62.819035	120102.7	119934.14	120085.125	41.19328	120139.9	120009.31	1000.0	1000.0	291999	10935.933	402.11557	11932.339	7433.7397	10935.931	402.18185	11973.344	7624.4146	48.739544	5.6674976	71.30113	10.243122	-10924.436	1190.2388	6257.189239501953
74	120146.37	56.565056	120213.21	120066.92	120127.984	32.50052	120176.695	120073.35	1000.0	1000.0	295999	10940.4	395.36374	12239.802	6847.151	10940.3955	395.46924	12576.499	7388.2583	49.259796	5.746373	74.022095	11.651176	-10927.979	1309.3158	6343.086756944656
