Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
50	1246.6653	23.36719	1270.6456	1219.2488	1413.5624	29.615252	1480.5048	1376.7654	1000.0	1000.0	199999	93.81963	52.305107	273.77438	-46.570053	93.81958	52.304768	273.56058	-35.61849	-0.40507212	1.7134321	12.176438	-12.356145	-94.16428	3.3981621	3626.4284002780914
51	1298.458	13.4098215	1318.8705	1281.7935	1434.6547	22.116007	1475.558	1397.2427	1000.0	1000.0	203999	94.80372	52.19423	273.07056	-41.071194	94.80391	52.194397	272.69373	-35.41445	-0.3230506	1.7555456	15.591276	-10.7503	-95.205765	3.3623984	3698.6682782173157
52	1303.2709	14.3029175	1324.3379	1284.1284	1389.7455	9.177454	1406.8668	1372.7112	1000.0	1000.0	207999	96.59353	52.350555	275.3437	-43.441692	96.59376	52.350384	269.6208	-43.38005	-0.3093	1.7759575	13.595648	-10.477655	-97.000145	3.3965383	3771.5731987953186
53	1305.021	53.451046	1378.6257	1240.8604	1407.1895	8.8358	1427.1749	1395.5989	1000.0	1000.0	211999	97.86928	52.25064	266.94766	-33.670692	97.86945	52.250187	268.25735	-37.131325	-0.34725434	1.7548724	14.06678	-11.112376	-98.24069	3.3064215	3844.3526680469513
54	1334.5411	24.560768	1376.2083	1312.827	1433.1155	6.3164587	1442.6052	1423.398	1000.0	1000.0	215999	98.59983	52.14424	267.1963	-31.28002	98.59981	52.144062	269.8436	-32.86364	-0.32921165	1.7611195	13.988317	-11.474558	-98.970894	3.2760193	3917.6707866191864
55	1297.0491	24.27606	1335.5951	1274.0481	1441.5109	18.44099	1464.3851	1410.0499	1000.0	1000.0	219999	100.12349	51.95306	270.63846	-25.593103	100.12358	51.953495	268.0137	-28.076614	-0.30449378	1.7540711	15.383943	-10.926624	-100.52589	3.282006	3990.349660396576
56	1324.7274	32.01467	1371.9987	1286.3549	1453.0632	11.969159	1475.1611	1437.9546	1000.0	1000.0	223999	101.04164	51.735886	271.2529	-26.253775	101.0415	51.735973	271.5311	-31.080688	-0.39034462	1.7337774	11.946028	-11.4107685	-101.38094	3.2892754	4063.2799065113068
57	1316.8302	21.663092	1350.0785	1294.765	1426.6536	7.536655	1441.6523	1411.543	1000.0	1000.0	227999	101.36651	51.842663	269.38803	-22.258923	101.3665	51.842957	270.98547	-24.719732	-0.3820793	1.7199485	17.348713	-10.239914	-101.70089	3.283922	4135.344211578369
58	1361.1453	33.26032	1414.8743	1329.9911	1406.7924	7.3000717	1418.0459	1393.7087	1000.0	1000.0	231999	102.14644	51.98856	267.21234	-26.45551	102.1463	51.989326	266.87558	-34.420628	-0.34544683	1.7353659	12.445851	-10.9860935	-102.51733	3.4394078	4208.500744104385
59	1369.1705	33.956154	1398.4222	1311.9606	1467.8337	9.9501915	1487.5009	1455.5908	1000.0	1000.0	235999	103.83544	51.880024	273.84973	-19.505959	103.83558	51.880646	270.80493	-20.14729	-0.3067848	1.7852852	14.295826	-12.7842865	-104.238686	3.7166185	4280.933068037033
60	1359.0795	40.77145	1427.4938	1320.0446	1457.2828	13.98004	1481.4154	1431.2672	1000.0	1000.0	239999	105.30707	51.645363	268.1177	-18.848728	105.30704	51.645515	266.23965	-19.986044	-0.33354655	1.7381839	14.6850195	-12.562723	-105.67648	3.467272	4353.729328870773
61	1368.4052	51.872932	1432.6074	1292.1316	1483.4094	8.973909	1504.7268	1472.9406	1000.0	1000.0	243999	105.85574	51.748	273.23596	-26.175817	105.85607	51.747868	270.1807	-28.530815	-0.34621865	1.7248377	12.247204	-10.604553	-106.19258	3.2016943	4426.140764474869
