Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
69	38112.11	7428.674	45765.297	30669.654	31321.197	175.47818	31772.004	31150.697	1000.0	1000.0	275999	7975.889	2018.8185	12640.15	5608.36	7975.877	2018.7968	12605.88	5507.986	-7981.985	7497.134	4090.3276147842407
70	38520.77	7654.782	46305.617	30807.875	31340.34	177.96051	31616.84	31116.488	1000.0	1000.0	279999	8011.5903	2042.0273	12679.1455	5922.5547	8011.5903	2042.0388	12716.659	5561.016	-8018.7144	7700.287	4150.235280990601
71	30796.258	121.72378	30969.137	30636.285	31690.656	820.05994	33602.84	31224.92	1000.0	1000.0	283999	8024.027	2058.2104	12745.019	5573.641	8024.0205	2058.1873	12814.738	5181.2217	-8029.8457	8019.567	4210.57629776001
72	38333.246	7443.6567	45860.13	30839.018	31432.412	436.23178	32722.545	31124.475	1000.0	1000.0	287999	8034.2314	2071.6145	12846.875	5744.3945	8034.23	2071.6123	12854.141	5668.2617	-8035.0156	7770.8965	4270.3084444999695
73	34595.363	6686.6807	46176.92	30705.201	31460.615	275.9679	32123.963	31223.906	1000.0	1000.0	291999	8067.6226	2093.0664	12962.282	5903.882	8067.618	2093.0486	12964.367	5770.6475	-8074.908	8174.408	4330.313159704208
74	38879.766	8244.024	48667.586	30706.986	31512.885	715.7055	33630.0	31081.248	1000.0	1000.0	295999	8089.436	2111.3792	13023.527	5916.413	8089.4385	2111.3713	12940.792	5926.0757	-8097.734	8039.3237	4389.956639051437
75	30973.695	327.11243	31505.158	30639.697	32628.041	2527.6091	39890.312	31135.936	1000.0	1000.0	299999	8098.5728	2123.237	13048.771	5839.472	8098.5747	2123.2173	13016.648	5905.3667	-8105.821	8213.306	4449.9821519851685
76	43236.2	7445.2573	50645.684	30816.328	32664.963	2592.545	40122.977	31141.941	1000.0	1000.0	303999	8124.867	2142.9343	13039.688	5712.788	8124.863	2142.9048	13080.911	5770.77	-8136.806	8088.517	4509.095854520798
77	34654.332	6617.174	46114.812	30768.088	31315.355	88.10824	31520.865	31229.816	1000.0	1000.0	307999	8152.0264	2162.8086	13183.784	5765.037	8152.0234	2162.8103	13089.872	5760.0146	-8157.626	8763.64	4569.003569364548
78	34413.934	6253.5312	45244.453	30704.807	31513.129	529.2371	33005.68	31082.65	1000.0	1000.0	311999	8167.3184	2177.391	13173.815	3098.2244	8167.3115	2177.407	13158.499	3153.2104	-8173.695	8387.327	4628.897309780121
79	42124.8	6660.5396	46187.05	30591.422	31747.426	847.3608	33918.42	31201.47	1000.0	1000.0	315999	8188.6655	2195.169	13185.324	5794.6655	8188.663	2195.1638	13140.027	5928.779	-8190.293	8136.612	4688.04704284668
80	34490.44	6497.8247	45744.984	30723.143	31760.297	752.56256	33455.086	31181.664	1000.0	1000.0	319999	8226.055	2216.4429	13245.661	5297.142	8226.052	2216.44	13203.552	5671.9424	-8235.685	8433.446	4748.049183130264
81	39693.863	9187.626	51420.21	30657.56	31656.86	782.29065	33725.277	31145.682	1000.0	1000.0	323999	8243.967	2232.9956	13229.505	5693.489	8243.962	2232.9785	13237.137	6001.261	-8256.637	8602.918	4807.794877767563
82	38386.03	7545.7583	45974.887	30836.564	31523.793	727.2476	33669.965	31052.2	1000.0	1000.0	327999	8264.766	2252.768	13335.509	6003.065	8264.765	2252.7488	13304.838	5369.5386	-8266.265	8523.24	4867.219410657883
83	38421.68	7160.87	45598.273	30710.414	31597.375	736.5753	33073.902	31124.936	1000.0	1000.0	331999	8292.674	2271.0479	13389.356	5468.209	8292.668	2271.0676	13346.707	5344.0527	-8303.647	8868.072	4927.103012561798
84	39304.688	8473.304	49241.57	30630.92	31474.035	525.6852	33031.242	31132.932	1000.0	1000.0	335999	8324.213	2289.8784	13357.532	5791.694	8324.212	2289.858	13334.718	5880.692	-8329.768	8796.009	4986.656982660294
85	35315.36	7226.416	47830.58	31049.219	31754.787	934.1941	34179.816	31088.68	1000.0	1000.0	339999	8323.993	2300.8665	13414.304	5883.934	8323.993	2300.8635	13395.88	4983.035	-8331.462	9012.114	5047.105997800827
86	34398.242	6251.9766	45226.7	30719.625	31525.365	732.6561	33710.176	31156.723	1000.0	1000.0	343999	8342.038	2316.451	13472.658	5005.7876	8342.031	2316.4595	13414.2705	5457.5625	-8351.209	9307.918	5107.45347237587
87	44182.355	7883.883	50157.094	30738.62	31467.613	437.9782	32554.52	31048.043	1000.0	1000.0	347999	8363.987	2335.6912	13471.114	3054.3235	8363.993	2335.6812	13412.005	3688.6938	-8374.941	9171.722	5167.042038202286
88	38316.81	7550.0356	45910.19	30714.488	31570.668	827.0585	34004.242	31074.535	1000.0	1000.0	351999	8377.661	2347.926	13454.847	5884.153	8377.654	2347.9297	13465.576	5924.478	-8378.463	9402.458	5226.97366642952
89	34684.617	6386.8813	45743.656	30814.766	31355.723	191.78148	31755.748	31119.11	1000.0	1000.0	355999	8400.431	2365.9902	13481.325	5890.0557	8400.426	2365.985	13499.784	5896.96	-8409.516	9269.087	5287.532684087753
90	41793.92	6380.808	45970.977	30754.643	32455.754	2384.304	39386.824	31199.14	1000.0	1000.0	359999	8427.5	2383.7053	13589.732	2307.1604	8427.506	2383.7231	13556.115	3113.1558	-8443.747	9366.127	5347.172907590866
91	38323.504	7381.2026	46002.473	30801.814	31461.348	432.01917	32482.33	31148.344	1000.0	1000.0	363999	8447.222	2397.5288	13714.961	5287.367	8447.225	2397.5122	13663.749	5497.0586	-8454.73	9660.546	5407.319977283478
92	30863.043	54.23284	30932.24	30784.527	31407.209	408.24515	32620.227	31158.496	1000.0	1000.0	367999	8451.312	2408.5068	13728.375	4732.476	8451.304	2408.515	13648.843	5745.392	-8451.946	9701.61	5468.029443025589
93	38234.617	7461.5396	45762.22	30754.861	31433.76	485.4774	32857.03	31115.451	1000.0	1000.0	371999	8454.038	2418.7744	13632.086	5845.497	8454.036	2418.745	13671.836	5786.4004	-8456.379	9278.396	5527.949248552322
94	34411.16	6361.795	45430.05	30718.107	31495.432	626.3949	33201.355	31133.396	1000.0	1000.0	375999	8470.879	2433.0327	13736.99	5897.5605	8470.884	2433.0679	13688.543	5910.697	-8472.412	9556.739	5587.975083589554
95	34553.324	6603.218	45990.22	30687.133	31704.457	912.59595	34396.89	31245.318	1000.0	1000.0	379999	8466.491	2439.7405	13735.52	5963.3994	8466.47	2439.755	13737.667	5770.3726	-8471.814	9487.569	5648.079484462738
96	34446.15	6327.235	45403.902	30632.281	31550.043	515.5505	32599.457	31137.523	1000.0	1000.0	383999	8476.116	2450.6672	13754.182	5590.4395	8476.126	2450.6628	13679.744	5788.288	-8482.669	9517.938	5708.5882477760315
97	38460.29	7697.4087	46200.574	30739.29	31925.553	684.14343	33104.19	31320.47	1000.0	1000.0	387999	8476.568	2459.1548	13806.834	5802.9165	8476.563	2459.1484	13764.683	5122.7964	-8479.568	9458.496	5768.090833187103
98	30956.197	197.3499	31278.262	30751.805	31454.176	308.66776	32347.281	31246.521	1000.0	1000.0	391999	8481.636	2468.3887	13899.633	5634.7085	8481.63	2468.3948	13827.625	5722.7026	-8486.524	9781.774	5828.776225090027
99	38137.742	7402.101	46002.6	30722.512	31891.418	657.2772	33330.7	31269.238	1000.0	1000.0	395999	8483.803	2476.864	13848.13	5904.4956	8483.817	2476.8547	13829.4	5911.418	-8491.742	9825.294	5888.888500452042
100	38431.04	7596.585	46242.13	30635.504	31735.848	704.14844	33619.703	31147.057	1000.0	1000.0	399999	8495.261	2489.251	13831.758	5485.911	8495.25	2489.2405	13857.378	5796.474	-8494.174	9945.957	5948.7076506614685
101	38218.812	7517.6978	46009.805	30675.396	31402.562	271.22253	31976.3	31134.27	1000.0	1000.0	403999	8515.405	2505.1182	13883.609	5813.1426	8515.401	2505.1267	13804.019	5140.296	-8519.738	9645.7	6008.684063434601
102	46579.113	1147.8313	48538.684	45675.367	31610.262	668.3969	33186.86	31176.584	1000.0	1000.0	407999	8537.358	2518.306	13884.201	5721.6934	8537.366	2518.321	13925.782	5863.0493	-8544.66	9930.512	6067.470375776291
103	34542.16	6498.2886	45797.125	30744.3	31455.37	419.9949	32651.123	31151.21	1000.0	1000.0	411999	8544.7705	2529.063	13918.578	5793.2524	8544.748	2529.0889	13908.654	5770.3306	-8548.622	9397.806	6127.456357955933
104	30966.268	141.17912	31137.654	30747.69	31490.223	499.23544	32932.934	31181.861	1000.0	1000.0	415999	8544.966	2536.5085	13944.649	4759.981	8544.971	2536.5315	13888.3955	5268.606	-8550.528	9654.044	6188.188241481781
105	38199.258	7453.9683	45738.742	30729.547	32039.332	837.45154	33645.453	31143.287	1000.0	1000.0	419999	8535.059	2539.497	14042.314	5466.8564	8535.056	2539.5432	13984.149	5884.943	-8540.644	9707.659	6247.891852378845
106	43578.586	7500.55	51663.08	31305.143	32355.562	2673.8345	40166.297	31096.922	1000.0	1000.0	423999	8563.951	2553.657	14009.494	5792.582	8563.948	2553.6716	13929.519	5813.633	-8573.667	9628.877	6307.384203672409
107	30345.629	785.1264	30870.898	28987.96	31247.309	106.15414	31472.184	31083.863	1000.0	1000.0	427999	8571.444	2561.2554	13988.831	5802.302	8571.435	2561.2727	13972.3955	5554.672	-8577.609	9874.46	6367.660335063934
108	30822.14	126.6126	30999.605	30654.098	31679.402	524.1581	32855.543	31172.928	1000.0	1000.0	431999	8562.111	2564.6494	13996.741	5868.5127	8562.112	2564.6262	14024.131	4154.035	-8570.435	10200.762	6427.962315797806
109	31213.658	427.76837	31886.521	30715.004	32806.344	3041.7485	41604.305	31206.734	1000.0	1000.0	435999	8540.304	2562.0618	14021.979	5889.0464	8540.289	2562.0652	13997.993	5140.7666	-8550.03	9902.924	6488.421607017517
