Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
46	2617.241	256.7259	2967.594	2271.3318	2683.8062	132.0796	2841.2683	2419.3381	1000.0	1000.0	183999	200.7628	200.76262	-200.22438	16.436403	1.6496878	0.050991338	1.8260912	1.4832698	0.70066273	0.028376928	0.7689466	0.6318098	4246.947538852692
47	2679.7651	191.29524	2908.1467	2403.0593	2970.025	78.62587	3093.713	2830.0933	1000.0	1000.0	187999	204.79749	204.7972	-204.31032	16.665989	1.6511182	0.05204208	1.8286438	1.438652	0.7174603	0.037035443	0.796665	0.6525817	4339.49817943573
48	2765.8135	259.63898	3088.12	2439.9688	2953.8247	144.77827	3230.6086	2701.163	1000.0	1000.0	191999	209.27505	209.27483	-208.84601	16.77817	1.6678534	0.05164622	1.8554581	1.4678181	0.69497484	0.03907581	0.81913126	0.61482996	4432.138018369675
49	2667.7249	241.77164	3017.317	2401.3105	2807.0854	286.60556	3252.1465	2277.0474	1000.0	1000.0	195999	213.2993	213.29913	-212.84714	16.76678	1.6690865	0.053060178	1.8361117	1.4854845	0.67812806	0.041054077	0.7775983	0.60792524	4524.626057386398
50	2815.684	117.51943	2960.515	2662.3464	2818.2275	125.42597	3021.915	2576.9707	1000.0	1000.0	199999	215.8622	215.8624	-215.33437	16.922087	1.6687714	0.051978953	1.8474885	1.477644	0.67576927	0.044706933	0.7657802	0.58777213	4617.343951463699
51	2564.9854	55.2704	2641.0083	2493.1792	2679.4324	95.42389	2867.3164	2507.3723	1000.0	1000.0	203999	217.25514	217.25487	-216.7803	16.690203	1.6706597	0.051867917	1.8298935	1.4617422	0.6285131	0.037898146	0.70312184	0.5486317	4710.411645889282
52	2763.786	149.41759	2998.2517	2621.6807	2754.518	94.10795	2903.7637	2628.3838	1000.0	1000.0	207999	218.27792	218.27766	-217.77863	16.076004	1.6687521	0.05208277	1.8470733	1.4785247	0.6049943	0.031002197	0.6773609	0.5415964	4803.183735132217
53	2958.797	133.66121	3184.5742	2838.0754	2948.7434	142.24362	3125.6807	2627.512	1000.0	1000.0	211999	218.0742	218.0741	-217.54272	15.8902025	1.669006	0.054406676	1.8871009	1.4479747	0.6013656	0.041570384	0.6779297	0.5125549	4895.919553279877
54	2880.9797	160.54272	3038.6375	2661.5354	2880.3647	74.93602	3001.7983	2745.0369	1000.0	1000.0	215999	218.3764	218.37624	-217.85509	15.518201	1.670543	0.05160736	1.8607191	1.4917097	0.599006	0.032497983	0.6949491	0.52292293	4989.684987545013
55	2868.8535	76.230034	2948.9229	2755.8926	2804.5857	119.04425	3002.7815	2629.2363	1000.0	1000.0	219999	218.91826	218.91792	-218.3817	15.348973	1.670111	0.05123282	1.846504	1.4628084	0.59055066	0.03824138	0.6658847	0.4986147	5082.443893909454
56	2694.5083	234.46571	3029.2356	2402.5105	2816.4688	102.08766	3074.557	2703.6218	1000.0	1000.0	223999	219.43391	219.43365	-218.91254	15.90733	1.6699259	0.0524401	1.8529813	1.4932352	0.57404435	0.04045439	0.6633609	0.5014358	5175.432747602463
57	3058.8105	107.10181	3228.3518	2932.8728	2909.7756	96.4547	3057.5596	2742.973	1000.0	1000.0	227999	220.5904	220.59044	-220.10643	14.954099	1.6692803	0.052018106	1.8702183	1.5003239	0.5653156	0.03761671	0.6351093	0.48708788	5269.2659776210785
58	2775.9333	103.76889	2878.005	2605.9707	3217.8394	199.22186	3466.1418	2836.2173	1000.0	1000.0	231999	221.60786	221.60767	-221.11447	15.447155	1.6702632	0.054335088	1.8635803	1.4872255	0.5609074	0.04696204	0.670844	0.4634576	5362.487540960312
59	2895.308	175.97058	3105.78	2617.868	2556.9614	200.92636	2776.5325	2223.808	1000.0	1000.0	235999	222.60776	222.60777	-222.15231	15.603721	1.6696966	0.049637288	1.8666557	1.4808319	0.545206	0.023009513	0.5937815	0.4952399	5455.570397615433
60	3065.9995	104.374756	3211.6152	2957.1406	3048.5051	180.56947	3267.6946	2673.1802	1000.0	1000.0	239999	223.73874	223.7388	-223.27025	15.702904	1.6696055	0.051130865	1.8404244	1.4846082	0.547016	0.024856238	0.61106056	0.4962625	5548.845598459244
61	3125.9263	124.94146	3280.4065	2935.0085	3151.061	139.8729	3419.763	2945.277	1000.0	1000.0	243999	224.55826	224.55844	-224.1241	15.0079775	1.6683335	0.049556416	1.8393872	1.4955978	0.50666225	0.02770679	0.57034886	0.45881632	5641.60467672348
