Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
68	7033.116	57.58459	7116.3105	6953.757	7722.3906	47.018692	7782.423	7621.8486	1000.0	1000.0	271999	481.0822	121.56173	601.6731	-46.956142	481.08237	121.563385	602.65027	-55.655308	4.376626	4.429254	43.526245	-13.463112	-480.6194	24.853651	4910.516486644745
69	7155.92	58.01827	7238.9194	7077.4863	7741.2046	65.30038	7866.122	7666.877	1000.0	1000.0	275999	483.736	121.3083	603.2488	-37.751423	483.7354	121.31001	603.4896	-45.92465	4.411416	4.4083147	42.207195	-12.522688	-483.28757	24.488657	4981.745734214783
70	7109.7056	96.41962	7231.3003	6998.4375	7666.4126	75.212845	7759.7505	7517.788	1000.0	1000.0	279999	486.13345	121.41239	604.2376	-34.080788	486.13315	121.4133	605.41473	-26.040012	4.4641767	4.427263	43.241318	-13.124855	-485.66776	24.68786	5053.912655830383
71	7126.879	84.79181	7206.9087	6994.49	7927.1455	80.49372	8061.1772	7760.37	1000.0	1000.0	283999	488.4256	121.41447	607.9317	-36.90902	488.42557	121.415985	606.2884	-45.45767	4.5151033	4.4284673	49.18015	-13.387037	-487.94162	24.990376	5126.306779623032
72	5930.532	2339.619	7439.1406	1884.5673	7767.251	71.31697	7892.3555	7636.5117	1000.0	1000.0	287999	489.82373	122.49056	611.2938	-58.65838	489.82352	122.491516	609.5356	-55.742905	4.47441	4.410294	54.39332	-15.768649	-489.31876	26.02135	5199.459497690201
73	7151.5703	96.302246	7305.111	7058.1216	7880.794	139.23619	8080.716	7513.863	1000.0	1000.0	291999	491.64447	123.12743	612.2117	-60.820732	491.6443	123.127594	610.6478	-52.76856	4.5391874	4.4700346	40.949203	-12.374539	-491.14578	27.267042	5271.081923484802
74	7181.345	4.366351	7185.7495	7174.1323	7954.284	68.660126	8055.2603	7857.871	1000.0	1000.0	295999	493.83063	123.0903	613.1139	-60.978085	493.82996	123.09187	613.0616	-55.24482	4.5265074	4.4378242	49.07021	-13.708759	-493.32764	26.175	5343.895738363266
75	7305.209	52.369335	7390.9653	7248.884	8050.3374	76.9917	8184.085	7932.9956	1000.0	1000.0	299999	496.63452	122.54598	616.7226	-60.36061	496.63477	122.54699	614.5052	-62.780777	4.6047263	4.440399	48.76103	-13.023971	-496.15112	26.420824	5415.288881063461
76	7336.2197	93.18637	7492.966	7253.963	8015.953	90.82711	8158.1807	7864.0156	1000.0	1000.0	303999	498.63812	122.921196	618.6558	-114.35778	498.63773	122.92264	621.03894	-75.9686	4.6205034	4.460231	50.06984	-11.611048	-498.1042	28.04747	5487.661440849304
77	7269.3164	51.511185	7336.959	7199.7837	7940.926	32.491356	7992.5933	7886.6475	1000.0	1000.0	307999	500.84564	122.619774	619.8128	-81.768814	500.84528	122.620125	620.4117	-78.13759	4.6656513	4.449782	57.610264	-12.529014	-500.33768	27.006695	5560.079411268234
78	7400.9854	98.45708	7539.5737	7288.0786	7974.0913	85.14838	8110.6504	7766.6353	1000.0	1000.0	311999	503.10315	122.82576	620.5619	-117.03771	503.1026	122.82847	623.8411	-116.63413	4.7085304	4.504362	58.267746	-14.662813	-502.57306	27.64571	5632.833710432053
79	7398.415	48.35103	7476.325	7343.894	8104.4717	84.9208	8205.097	7929.917	1000.0	1000.0	315999	505.56293	122.1024	622.92914	-64.408966	505.56284	122.10456	622.1682	-107.84076	4.7733355	4.4718037	53.15999	-12.629192	-505.05182	26.959036	5704.386252880096
80	7519.7236	49.737556	7592.367	7462.1606	8131.8545	75.166466	8290.685	8015.43	1000.0	1000.0	319999	507.92432	122.247856	624.5186	-47.66851	507.92377	122.24932	623.61945	-53.377136	4.7818346	4.502662	44.187714	-13.933106	-507.3893	27.471119	5776.617484807968
81	7403.5527	79.320656	7501.097	7283.658	8116.0376	49.377033	8199.676	8042.9375	1000.0	1000.0	323999	510.33084	122.36665	628.8378	-68.48915	510.33087	122.36812	630.362	-44.957306	4.89568	4.5422306	52.927788	-12.621251	-509.80093	27.495066	5848.666725158691
82	6466.6475	1808.3663	7630.6353	3338.4246	8248.734	67.07773	8379.647	8163.004	1000.0	1000.0	327999	512.0192	123.31772	634.3128	-71.13694	512.0187	123.32003	635.2135	-65.78623	4.87384	4.488551	61.498116	-13.30624	-511.48016	27.47899	5920.5219922065735
83	7478.3213	96.91405	7630.7427	7389.681	8346.576	74.05662	8447.141	8231.345	1000.0	1000.0	331999	513.8222	124.09977	638.53937	-52.646713	513.82196	124.10047	639.8886	-55.880554	4.849994	4.4847045	46.398773	-14.529035	-513.27026	28.742695	5991.811955213547
84	7570.8164	203.95306	7887.1377	7350.263	8243.942	80.80655	8387.961	8082.96	1000.0	1000.0	335999	516.57635	123.09955	640.6242	-56.493748	516.5763	123.10013	639.71747	-54.532158	4.9127584	4.505202	58.6253	-12.874587	-516.02344	28.135872	6064.326368093491
85	7638.293	151.9194	7856.0044	7473.1187	8471.318	109.850845	8656.932	8303.854	1000.0	1000.0	339999	518.426	123.79163	641.279	-73.24256	518.4258	123.79331	641.49713	-79.355156	4.914855	4.505408	53.741066	-12.910846	-517.8685	28.221561	6137.050227642059
86	7542.8613	93.12481	7639.5747	7416.9263	8432.093	141.27206	8613.164	8183.684	1000.0	1000.0	343999	521.31775	123.5608	645.5279	-29.895744	521.3172	123.561035	645.3822	-23.50187	4.9859605	4.5014205	46.439754	-14.747014	-520.7972	29.647652	6209.375903367996
87	7819.9644	133.40118	8041.0854	7696.31	8452.623	86.85289	8572.493	8293.102	1000.0	1000.0	347999	523.8574	123.26259	654.79236	-30.595745	523.85693	123.26285	657.4567	-34.59486	4.934988	4.487196	45.19158	-12.176438	-523.3056	29.137547	6281.273224830627
88	7782.0586	110.03595	7955.21	7656.5967	8497.369	71.0768	8639.21	8407.091	1000.0	1000.0	351999	526.19403	123.61744	656.8971	-14.898474	526.19415	123.61841	657.44324	-35.78143	5.0177574	4.508295	60.139416	-11.268729	-525.63513	29.229033	6353.1877381801605
89	7779.5547	101.78605	7902.664	7640.1646	8576.303	122.58432	8801.134	8366.3955	1000.0	1000.0	355999	528.29	124.08196	661.3866	-17.70447	528.2897	124.0836	662.0689	-10.458465	5.038344	4.5135612	40.207153	-14.11897	-527.71716	29.604277	6426.2863676548
90	7725.8774	105.52921	7900.3633	7636.1367	8615.616	59.435802	8702.433	8511.215	1000.0	1000.0	359999	530.387	124.19511	659.5903	-22.5312	530.38654	124.19526	659.4487	-9.209738	5.05554	4.483717	51.67543	-13.811806	-529.82086	29.748692	6497.928410291672
91	7753.5874	106.71216	7868.9917	7607.323	8740.051	170.56856	8953.986	8377.308	1000.0	1000.0	363999	532.8016	123.91817	661.80634	-107.86415	532.8009	123.91964	662.42395	-88.86005	5.0977526	4.523421	49.50509	-13.268696	-532.2265	31.45039	6568.83801984787
92	7805.8477	94.13715	7916.6274	7667.3496	8700.826	100.05798	8830.83	8464.662	1000.0	1000.0	367999	535.0574	124.085175	664.0948	-63.046146	535.05695	124.08715	664.092	-35.216656	5.191493	4.545599	56.516937	-14.000776	-534.48505	30.98057	6641.695122718811
