Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
40	2071.674	148.49234	2187.424	1822.5734	2081.8352	141.45152	2300.3667	1914.2665	1000.0	1000.0	159999	158.5299	40.578953	293.04385	55.30653	158.52982	40.57948	293.92422	53.76645	-158.78249	12.66814	2.2589536	0.027043669	2.3401062	2.1484249	0.0067381794	1.1348083e-06	0.0067420383	0.006734378	4054.7466180324554
41	1961.5874	120.27985	2107.2937	1781.4703	2027.3453	169.0043	2390.9775	1787.2618	1000.0	1000.0	163999	159.89198	40.183205	288.83484	45.700836	159.89194	40.18428	288.488	41.27479	-160.11923	12.737629	2.2546816	0.027706446	2.3477254	2.159813	0.006738194	1.1860351e-06	0.0067420127	0.0067345933	4153.370066165924
42	1957.3257	162.0889	2138.322	1695.4733	2112.6553	86.60307	2232.4893	1995.2673	1000.0	1000.0	167999	161.04898	40.612904	290.66812	35.20033	161.04884	40.613567	290.44772	33.75032	-161.25937	13.299939	2.2498388	0.027967213	2.339896	2.1366777	0.006738214	1.2002826e-06	0.006742199	0.0067346576	4253.539175271988
43	2168.504	106.46339	2285.4524	2039.2583	2097.1726	97.109695	2280.9163	1963.5021	1000.0	1000.0	171999	161.9898	41.047985	289.29846	28.183065	161.98978	41.04874	288.64572	30.201982	-162.18936	13.535695	2.248699	0.027313473	2.343135	2.116573	0.0067381756	1.1932307e-06	0.0067418646	0.0067347954	4356.806166410446
44	2102.462	116.87695	2285.0332	1969.5765	2255.0552	107.67222	2417.3264	2072.277	1000.0	1000.0	175999	162.76295	40.860756	289.62628	29.010674	162.76312	40.862766	289.0336	25.439352	-162.96466	13.773453	2.2520273	0.026969967	2.3363502	2.1494365	0.0067381845	1.1722052e-06	0.0067421184	0.0067347316	4461.285176753998
45	2324.024	144.13942	2479.77	2120.763	2150.628	175.95229	2457.188	1933.9581	1000.0	1000.0	179999	164.44768	39.67377	288.331	24.911818	164.44745	39.67573	288.23352	23.863693	-164.67131	13.518994	2.2453115	0.027555453	2.3403983	2.121256	0.006738164	1.1210869e-06	0.0067419354	0.006734626	4559.529442548752
46	2104.986	88.4074	2217.7734	1982.5123	2110.8684	96.66472	2296.4275	1946.1232	1000.0	1000.0	183999	166.31664	39.3247	290.55844	25.644316	166.3166	39.32585	288.6155	25.304228	-166.50993	13.543408	2.234917	0.028359795	2.329891	2.1243565	0.0067381724	1.1252002e-06	0.006741971	0.0067345807	4659.015488624573
47	2037.5325	157.88579	2282.8484	1845.881	2186.8	120.05811	2419.3538	2052.7866	1000.0	1000.0	187999	167.52753	40.07087	289.92322	39.99024	167.52728	40.07314	290.40024	40.464237	-167.71419	13.925823	2.2347345	0.028504163	2.32832	2.1222155	0.006738183	1.1779853e-06	0.0067421603	0.0067344937	4758.191549539566
48	2277.4458	73.34323	2379.6853	2173.1191	2359.1216	145.25598	2544.072	2072.7427	1000.0	1000.0	191999	169.09576	40.696182	292.16165	38.60981	169.09608	40.69639	291.40125	41.06553	-169.29335	14.568405	2.2340147	0.02820411	2.3340425	2.1119866	0.0067381724	1.1800093e-06	0.0067419675	0.0067344327	4885.839272737503
49	2320.6792	110.32852	2462.5154	2162.9565	2364.727	135.93552	2611.1543	2171.2834	1000.0	1000.0	195999	170.75813	40.989822	294.62805	31.568148	170.75793	40.990032	295.3225	35.207535	-170.9686	14.40101	2.235244	0.027517257	2.326406	2.1407905	0.006738153	1.1102675e-06	0.0067418646	0.006734439	4988.364369153976
50	2398.1604	170.8088	2631.6821	2206.6565	2404.3953	192.09756	2615.1714	2047.7677	1000.0	1000.0	199999	173.724	40.183468	293.47977	38.952847	173.72372	40.18212	293.85394	39.481785	-173.98363	14.4167795	2.2497036	0.027185304	2.3516955	2.1279714	0.0067381854	1.1094909e-06	0.0067418423	0.0067347256	5087.816031932831
