Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
38	1494.5166	474.18286	1975.1017	787.73157	1371.9941	369.68173	1810.819	785.7036	1000.0	1000.0	151999	89.2407	64.58784	265.43695	-67.857445	89.23996	64.58758	269.44467	-67.80381	-88.15801	24.252068	1.6104723	0.20309831	2.1570568	1.199773	0.006737666	1.1523654e-06	0.006741398	0.0067330166	3844.749027967453
39	1121.1514	516.4244	1895.8801	516.9355	1231.7019	393.89478	2055.151	504.48477	1000.0	1000.0	155999	88.26287	64.95888	266.68216	-64.94731	88.26247	64.95836	268.36246	-67.39383	-87.17888	24.358278	1.4463258	0.08467609	1.7249931	1.1729044	0.006737559	1.1741871e-06	0.0067409873	0.0067326347	3950.4228711128235
40	1424.935	318.74484	1728.4084	930.53595	1273.6277	227.19025	1732.3976	967.74475	1000.0	1000.0	159999	89.38514	66.289825	266.24023	-66.31127	89.38484	66.28934	267.1545	-66.19791	-88.33717	24.734991	1.5975108	0.12633483	2.0030053	1.2282419	0.0067376825	1.0365866e-06	0.0067408327	0.006734131	4052.623467683792
41	1839.28	152.09792	1992.848	1670.735	1520.7701	525.9359	2305.3918	644.0014	1000.0	1000.0	163999	93.65436	67.93173	270.22595	-69.50583	93.65455	67.93187	271.05832	-69.49458	-92.57214	24.811539	1.6044196	0.08906591	1.9185815	1.3049753	0.0067376704	1.0923586e-06	0.0067408876	0.006733399	4155.43451333046
42	1285.2318	789.44244	2106.698	126.88372	1811.5422	330.90494	2261.993	1119.7847	1000.0	1000.0	167999	93.33215	70.14918	273.69067	-63.815506	93.33202	70.14879	274.9254	-63.934242	-92.23833	24.648779	1.5667077	0.06924937	1.8159575	1.2858204	0.0067376727	1.0267872e-06	0.0067405277	0.006733357	4260.391496419907
43	1936.3325	534.414	2713.3855	1328.1033	1533.17	509.03418	2162.033	585.0328	1000.0	1000.0	171999	94.35914	73.147285	306.25208	-69.178955	94.35881	73.14746	307.07315	-74.73067	-93.27442	26.050472	1.589091	0.07595395	1.8813292	1.3299172	0.006737687	1.0749847e-06	0.006741241	0.0067344457	4360.388009548187
44	2300.9314	359.19046	2693.1492	1824.332	2552.5942	547.90686	3404.5496	1647.2478	1000.0	1000.0	175999	98.41953	76.947975	318.73468	-74.9483	98.41937	76.949486	324.21158	-74.91927	-97.38629	27.444183	1.715323	0.08497426	2.0123122	1.4116505	0.0067377216	1.098815e-06	0.006741312	0.006733717	4459.82687830925
45	2136.8435	808.69763	3026.577	849.0617	2941.8118	728.4859	3873.1123	1831.5837	1000.0	1000.0	179999	105.46488	81.75727	329.47876	-76.68038	105.46424	81.758156	331.17548	-80.14457	-104.44864	28.565596	1.7864233	0.07684349	2.0832353	1.5524266	0.0067377845	1.0435908e-06	0.006741003	0.0067342757	4561.177157640457
46	2328.4248	515.15643	2768.0454	1506.9828	2101.9875	453.7891	2988.39	1325.0128	1000.0	1000.0	183999	114.54613	86.53532	343.81494	-83.18112	114.54573	86.53641	343.86465	-81.01588	-113.60101	31.628147	1.8838342	0.0727628	2.1423655	1.6454304	0.0067378595	1.151473e-06	0.0067413663	0.0067339414	4663.656297206879
47	2129.4065	429.50064	2629.4202	1459.144	3520.2969	514.35156	3857.0017	1996.384	1000.0	1000.0	187999	125.49624	90.07279	356.1014	-78.37036	125.49573	90.073456	359.38394	-77.66624	-124.61905	32.11703	2.0500503	0.107394405	2.3427238	1.7161577	0.00673798	1.0215788e-06	0.0067414306	0.006734327	4768.332414865494
48	2808.4631	553.07263	3605.1575	2282.0774	2252.6934	591.937	3436.532	1355.2992	1000.0	1000.0	191999	131.9418	94.33482	366.7617	-86.18707	131.94205	94.3334	368.42072	-81.20949	-130.87302	31.402102	1.7580112	0.07870892	2.0501764	1.5142419	0.0067377617	1.1473045e-06	0.0067414534	0.0067337556	4867.836214542389
49	3454.37	862.67926	4493.2593	2103.9473	2575.9988	1095.5856	4322.21	1340.8473	1000.0	1000.0	195999	136.90703	99.12893	392.2373	-81.12861	136.90674	99.12834	386.85257	-89.830444	-135.96878	34.28385	1.9954689	0.12760578	2.3454542	1.6483111	0.006737957	1.0740989e-06	0.006741122	0.006734298	4967.425541400909
50	3480.232	483.25092	4087.5483	2963.495	3627.1172	58.670124	3715.6118	3550.2253	1000.0	1000.0	199999	148.26842	102.67947	397.02618	-86.54398	148.26762	102.678696	394.82126	-85.39475	-147.40305	34.03539	2.060942	0.09549742	2.3600028	1.7747619	0.0067379703	1.096785e-06	0.0067416495	0.0067338324	5069.614651679993
51	3397.0151	886.01105	4179.3906	1906.385	4566.94	142.51416	4783.838	4212.9766	1000.0	1000.0	203999	154.40913	106.522385	408.73932	-101.9875	154.40962	106.522354	408.1239	-106.79257	-153.36949	33.42529	1.8489009	0.088670604	2.116685	1.565684	0.0067378273	1.0784325e-06	0.006741537	0.006733855	5171.972883939743
52	2575.2998	788.75616	3688.4531	1528.82	2175.8613	666.8158	3133.816	1445.0555	1000.0	1000.0	207999	162.86198	110.10854	418.9263	-98.64671	162.8615	110.10787	419.15305	-96.10762	-162.06271	36.366524	2.1019166	0.12303886	2.442299	1.7167579	0.006738056	1.1089467e-06	0.006742379	0.0067337714	5276.05818271637
53	2835.4785	1463.0864	4307.923	1354.7399	4545.0117	79.9247	4673.906	4421.5103	1000.0	1000.0	211999	174.16132	113.39255	436.32486	-95.081856	174.16106	113.39208	437.09125	-99.42704	-173.2667	37.08169	2.0299788	0.08221837	2.3772602	1.773801	0.0067379675	1.0914606e-06	0.0067419643	0.006733948	5379.416033267975
54	4061.617	247.92296	4399.575	3711.7341	2263.9258	518.6461	3613.9075	1728.5045	1000.0	1000.0	215999	181.42946	117.36812	446.69952	-94.757416	181.42992	117.36878	446.04343	-90.14281	-180.53365	38.748016	2.052923	0.0988399	2.3581898	1.7603891	0.006738005	1.0985112e-06	0.0067417775	0.006734109	5482.960345029831
55	2690.9546	612.2525	3528.2407	1919.3838	3225.6243	1002.25793	4486.5396	1554.5945	1000.0	1000.0	219999	189.5817	120.41561	453.43332	-119.17033	189.58109	120.41466	453.71405	-121.171196	-188.86214	40.685814	2.108034	0.14741416	2.5033417	1.7744501	0.006738035	1.0465186e-06	0.0067411927	0.0067345295	5588.102345228195
56	2313.9558	1320.6372	3912.5935	321.13608	3473.9368	511.97043	4170.436	2565.42	1000.0	1000.0	223999	202.19781	120.07214	464.59036	-110.9234	202.19856	120.071846	464.10294	-109.49549	-201.43451	41.45658	2.220734	0.08221398	2.5061877	1.9685508	0.006738166	1.1663634e-06	0.006742199	0.0067345295	5688.924300432205
57	3099.1006	1219.8671	4383.1973	1507.7548	2443.4812	489.0278	3429.2256	1857.8705	1000.0	1000.0	227999	209.2571	120.942825	471.38718	-125.123955	209.25662	120.94411	472.4564	-129.31007	-208.34065	41.8512	2.1049592	0.07716199	2.3644779	1.8479176	0.006738049	1.0845962e-06	0.0067417426	0.006734404	5791.345772266388
58	3368.9822	686.10913	4394.575	2727.9255	2480.8813	228.2355	2898.6235	2221.0286	1000.0	1000.0	231999	214.04771	123.00259	487.77197	-136.06725	214.04782	123.002396	485.70886	-133.23572	-213.06696	43.862095	2.1136951	0.09509221	2.4696867	1.779994	0.0067380243	1.0758806e-06	0.0067420155	0.006734472	5894.7998604774475
59	2467.5747	614.60406	3238.163	1710.5377	3582.7546	615.9807	4072.4856	1893.6593	1000.0	1000.0	235999	218.36327	124.10522	488.44565	-123.55561	218.36382	124.1059	488.85992	-124.8302	-217.39908	43.043243	2.1257005	0.08581893	2.4142926	1.8749213	0.006738055	1.154378e-06	0.0067420476	0.0067342403	5997.217977046967
60	2805.5254	648.17334	3650.5354	2038.9517	3572.463	1003.7278	4872.48	1870.5077	1000.0	1000.0	239999	222.21518	126.41252	492.26196	-108.68514	222.21481	126.41465	493.8924	-110.60372	-221.28087	44.31748	2.1469038	0.061458573	2.3596396	1.9257859	0.0067380923	1.1098383e-06	0.006742466	0.0067340764	6099.26296377182
61	3974.631	746.53253	4885.0176	2843.2432	2841.757	1252.5083	5008.8384	952.4594	1000.0	1000.0	243999	226.83456	127.59796	505.25644	-122.9245	226.83382	127.600235	505.10303	-115.85876	-225.9121	46.343784	2.2219584	0.08207893	2.494336	1.9334705	0.006738143	1.0795593e-06	0.006742231	0.006734449	6205.485968828201
62	3079.2217	217.64339	3443.9827	2867.9614	4688.6797	17.544401	4719.749	4665.7812	1000.0	1000.0	247999	232.16548	128.78653	511.0243	-167.12234	232.16495	128.78876	511.35016	-162.16759	-231.21219	46.731583	2.1853209	0.06197152	2.3816347	1.9630519	0.006738105	1.0352288e-06	0.0067416043	0.0067346673	6307.955713033676
63	3711.209	355.91605	4123.1606	3182.2063	3460.6882	856.7789	4955.7563	2422.2373	1000.0	1000.0	251999	235.72362	131.17757	521.2174	-149.22081	235.72346	131.1776	524.31976	-147.60043	-234.76418	47.949905	2.1965272	0.06857516	2.447883	1.9186437	0.0067381356	1.1399103e-06	0.006742225	0.006734144	6410.785077571869
64	4176.843	564.89777	4540.365	3201.62	2792.9802	507.01556	4006.5684	2231.0154	1000.0	1000.0	255999	239.01396	132.25793	524.7495	-145.53893	239.01341	132.25946	525.046	-143.56006	-237.99895	48.251186	2.1835966	0.0628305	2.3821619	1.9499298	0.0067381104	1.0960441e-06	0.0067418516	0.0067344555	6514.724173069
65	4098.7764	826.3893	5041.283	2876.6318	4515.9497	64.10856	4622.081	4391.725	1000.0	1000.0	259999	240.26198	134.49529	533.1033	-142.4541	240.26138	134.49733	536.615	-127.23939	-239.15894	48.10884	2.1500854	0.06461383	2.342972	1.9391267	0.006738076	1.1237966e-06	0.006741665	0.0067348275	6616.361488580704
66	3751.9087	679.15814	4547.4106	2784.205	5026.618	561.6494	5592.706	3782.4795	1000.0	1000.0	263999	240.72433	136.41895	535.3668	-116.59011	240.72417	136.4204	534.3905	-113.42766	-239.62543	48.949398	2.1687691	0.07879344	2.4282146	1.9264294	0.006738103	1.0763026e-06	0.0067419643	0.006735117	6717.458227396011
67	4279.8823	343.75565	4852.7554	4010.9233	3752.8457	1123.4774	4476.3545	693.7953	1000.0	1000.0	267999	241.93806	138.42604	529.56805	-116.01608	241.93736	138.4278	535.85895	-117.421265	-240.79362	50.206516	2.1458454	0.06013531	2.4094226	1.9520674	0.006738085	1.0968236e-06	0.006741788	0.006734263	6815.053946018219
68	3817.5571	970.15643	4721.111	2198.756	3922.0527	263.29108	4222.5195	3491.3064	1000.0	1000.0	271999	244.2016	140.26587	539.262	-115.35724	244.20128	140.26688	539.1771	-108.09414	-243.10713	49.973625	2.1872423	0.07867325	2.419819	1.904244	0.0067381356	1.1447606e-06	0.0067419354	0.0067344103	6913.667329549789
69	3870.0774	764.77563	4846.4165	2759.6372	3370.7566	765.474	4750.994	2094.2375	1000.0	1000.0	275999	245.25218	143.09242	539.50574	-121.09164	245.2505	143.09575	543.71356	-122.26271	-244.12965	49.99564	2.12595	0.06667418	2.4256265	1.8646429	0.0067380536	1.0566484e-06	0.0067422763	0.006733803	7020.60901427269
70	3815.9167	902.7251	5059.8154	2929.167	3933.586	1112.193	5255.2324	2384.4087	1000.0	1000.0	279999	248.25868	145.6104	543.527	-88.507324	248.25848	145.61101	543.89484	-94.99483	-247.15251	51.83775	2.1985161	0.06663665	2.4246168	1.9955813	0.0067381337	1.0722471e-06	0.006741508	0.0067348727	7121.050860881805
