Epoch	AverageTestEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet0	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	alpha	Time
103	227131.61	18317.527	258858.05	216470.67	239853.03	13683.299	262914.7	217501.16	1000.0	1000.0	411999	849.05707	849.0549	-844.87305	289.99487	3.9996078	1.2575756	20705.54261994362
104	249002.73	17734.324	264156.7	218943.94	215546.42	32045.82	259250.1	164179.02	1000.0	1000.0	415999	852.4652	852.4635	-848.3031	285.22537	3.9966187	1.1995641	20939.491888046265
105	212031.94	16333.269	232422.34	187460.02	226147.33	49826.047	269980.97	92385.23	1000.0	1000.0	419999	854.10986	854.10974	-849.806	285.5003	4.0025454	1.264614	21171.264757871628
106	243976.86	18906.875	266198.66	216746.19	255011.67	13575.078	278611.84	234967.19	1000.0	1000.0	423999	857.35425	857.3553	-852.8185	290.74405	3.997867	1.320753	21404.769529104233
107	211470.33	47738.86	264094.44	149246.17	249240.4	30963.26	298712.1	188568.25	1000.0	1000.0	427999	861.2701	861.27106	-856.76086	298.11395	4.0042353	1.3416917	21639.12162232399
108	249607.1	15394.219	276092.8	237958.9	221362.66	24891.406	263175.94	181268.75	1000.0	1000.0	431999	865.9274	865.9248	-861.43964	302.2287	4.0004296	1.3213149	21871.811115026474
109	230945.06	27271.812	253772.6	184348.97	252852.67	25677.27	285671.38	208572.28	1000.0	1000.0	435999	868.9173	868.9179	-864.408	305.43988	3.997614	1.3178596	22108.196875572205
110	251747.73	11236.761	265954.84	234686.17	245486.28	23837.06	275113.3	186436.14	1000.0	1000.0	439999	871.50824	871.5065	-867.0365	303.81488	4.00005	1.2944853	22341.204078912735
111	249851.44	32856.793	271666.44	193151.62	239110.55	25640.635	270304.97	192125.55	1000.0	1000.0	443999	874.3102	874.31055	-869.6415	309.13785	4.0005784	1.344055	22574.522718191147
112	220316.4	34847.98	253585.58	164579.08	253607.2	20669.074	285418.06	217373.92	1000.0	1000.0	447999	876.63416	876.6326	-872.1903	309.6912	3.9951656	1.2983749	22806.700997829437
113	223071.88	41150.965	275005.97	160367.67	243212.0	30239.707	276343.28	183289.47	1000.0	1000.0	451999	880.57605	880.57666	-875.91364	315.70755	4.002473	1.3501809	23038.100818157196
114	227040.53	17981.459	243263.48	196611.58	230405.72	41790.5	269223.8	116147.38	1000.0	1000.0	455999	881.9601	881.9573	-877.22906	320.82526	4.002996	1.352962	23271.092110157013
115	240392.12	7564.1143	249217.16	231702.33	245150.62	18062.56	266286.9	203079.75	1000.0	1000.0	459999	883.9815	883.9816	-879.18036	331.6131	4.0012383	1.3789297	23505.018961906433
