Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
96	196536.69	14835.609	212086.8	173333.42	221177.25	11854.293	239321.61	200830.64	1000.0	1000.0	383999	701.7752	701.7781	-696.8514	373.3868	3.9986844	1.2310141	22382.931602716446
97	214375.25	6689.4854	219718.14	202907.69	200715.84	18710.734	232695.53	178258.53	1000.0	1000.0	387999	703.67505	703.67535	-698.6635	378.399	4.0025687	1.2567128	22616.640372991562
98	206042.05	4736.9683	209372.31	197865.56	214840.97	19638.22	241067.03	182704.62	1000.0	1000.0	391999	707.26263	707.26624	-702.1472	378.8639	3.9953346	1.2727681	22847.580293655396
99	231146.6	14801.068	249265.97	209513.33	210671.12	17894.19	246425.06	175061.2	1000.0	1000.0	395999	708.57184	708.5712	-703.48114	377.47183	4.0027933	1.2644128	23081.4875562191
100	222383.73	17944.549	251159.23	206264.98	219512.0	15939.236	254003.16	198458.0	1000.0	1000.0	399999	711.37256	711.3732	-706.34015	376.5681	3.9959092	1.2343506	23314.48059439659
101	221140.19	19381.201	249872.67	199190.83	219125.8	31590.902	253984.64	153405.45	1000.0	1000.0	403999	713.8121	713.811	-708.6605	374.99457	4.0041423	1.2705886	23545.676779270172
102	210812.05	12792.33	225161.53	193955.5	213390.6	14786.175	239629.95	195344.1	1000.0	1000.0	407999	715.88104	715.88214	-710.64166	379.73062	4.0034614	1.2789836	23779.24249148369
103	205666.0	17328.256	220488.45	176894.38	233062.33	15087.931	254797.08	216519.56	1000.0	1000.0	411999	717.316	717.3144	-712.0525	386.99924	3.9953775	1.2925583	24012.7225689888
104	211217.62	14630.886	231071.1	189869.45	212429.47	21354.13	250083.94	185568.08	1000.0	1000.0	415999	720.62933	720.6319	-715.41675	391.71194	4.000518	1.2675549	24248.259740829468
105	218593.97	6745.228	230085.75	212831.73	223813.08	16855.545	249839.1	197466.33	1000.0	1000.0	419999	723.09094	723.0912	-717.66876	404.2302	3.998961	1.3229214	24483.20499753952
106	211932.19	18189.773	229223.7	185088.75	226602.8	26242.53	271119.94	182914.3	1000.0	1000.0	423999	725.7128	725.71375	-720.4313	410.10867	4.003196	1.2885861	24719.12353038788
107	225722.19	10544.404	237874.39	211340.05	211019.72	16174.968	242403.38	178674.23	1000.0	1000.0	427999	727.3538	727.35614	-722.0093	403.86752	3.9937942	1.2890676	24953.448127746582
108	211694.75	10793.16	225305.58	199217.84	226173.84	17834.666	255517.4	199128.66	1000.0	1000.0	431999	729.3391	729.33905	-723.93896	404.34744	3.9997435	1.2974058	25189.35776424408
109	226539.88	19454.28	258361.19	206518.47	232751.88	10165.417	245826.58	214525.4	1000.0	1000.0	435999	730.4084	730.408	-725.0451	407.28528	4.0044494	1.2848898	25425.758744955063
110	194756.98	14580.653	213526.44	179917.12	211423.84	30085.547	248203.75	136284.34	1000.0	1000.0	439999	732.65704	732.657	-727.10205	408.34354	3.9944167	1.3252653	25666.248711586
111	219682.36	24372.49	251695.75	184699.12	224673.0	18158.031	254763.45	198706.58	1000.0	1000.0	443999	733.3692	733.37067	-727.93646	403.81332	4.0019736	1.295826	25904.923248291016
112	197590.78	33402.32	226164.94	143873.83	218844.0	12981.83	236877.34	193675.12	1000.0	1000.0	447999	735.4526	735.45416	-729.8695	406.97293	4.002037	1.3365098	26144.335552215576
113	206952.12	15926.871	225963.86	184892.2	214480.84	12709.474	233080.55	190440.23	1000.0	1000.0	451999	736.73816	736.73895	-731.0609	416.2543	4.003082	1.3512766	26383.983544111252
114	212000.03	25675.867	252254.17	183033.0	220641.55	15683.658	252223.95	196306.5	1000.0	1000.0	455999	738.50586	738.5036	-732.8799	418.60748	3.9948087	1.3343655	26626.61297607422
115	214984.7	7492.785	225794.73	206855.16	218027.97	16211.639	242360.66	185017.78	1000.0	1000.0	459999	738.7871	738.7881	-733.2226	423.04953	4.0063066	1.2916524	26867.0456366539
116	202255.75	16217.963	216936.84	175332.1	220444.66	19140.096	250577.38	184099.61	1000.0	1000.0	463999	738.8313	738.8305	-733.18115	424.26212	3.999453	1.3151394	27106.54690027237
117	221585.0	9497.822	236956.25	211354.5	215349.78	16964.805	253422.5	194962.9	1000.0	1000.0	467999	740.2371	740.23694	-734.58685	435.08743	3.9972208	1.3259397	27347.242648124695
118	238240.69	16644.531	262202.7	220312.06	234463.83	14975.017	253547.31	206108.86	1000.0	1000.0	471999	740.8082	740.80817	-735.0	432.90472	4.000452	1.3522749	27587.405849695206
