Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	$\alpha$	Time
91	237693.58	14257.9795	253204.12	214916.67	255657.9	14549.487	276388.78	221562.75	1000.0	1000.0	363999	852.2134	852.2119	-848.5339	380.63574	3.9866	1.2241384	18706.862512111664
92	238794.88	26236.781	266893.9	209964.95	244784.33	31151.38	285796.28	189080.11	1000.0	1000.0	367999	857.65295	857.6547	-853.9022	382.28925	4.00079	1.2263302	18936.934249162674
93	266302.66	29885.848	295712.3	219825.62	286664.38	21907.701	303942.22	225597.06	1000.0	1000.0	371999	863.516	863.51874	-859.7425	388.4502	3.9969068	1.2502879	19168.99304127693
94	230549.12	56723.37	272870.0	133778.14	269256.56	29111.49	298175.53	187280.05	1000.0	1000.0	375999	869.10046	869.09973	-865.38885	388.39957	4.0007596	1.2228771	19402.365167856216
95	261763.75	23525.256	278062.72	221262.95	271743.47	22419.28	295042.47	233654.42	1000.0	1000.0	379999	874.8255	874.82654	-870.9436	389.12943	3.993877	1.2812779	19632.725460767746
96	245125.31	38153.348	281994.3	189526.88	270504.44	18988.053	297559.3	233358.52	1000.0	1000.0	383999	881.8731	881.8749	-878.1668	391.76215	4.007083	1.2388333	19870.59412240982
97	252746.39	26420.32	284913.75	220922.75	278424.1	24177.531	310722.16	226191.73	1000.0	1000.0	387999	888.7274	888.728	-884.8206	397.9358	3.9985633	1.2782184	20100.86759376526
98	280898.8	9299.552	287821.1	264879.22	256430.47	30146.584	289765.72	183369.56	1000.0	1000.0	391999	893.534	893.5357	-889.7115	395.7296	4.0038104	1.2283181	20332.946818828583
99	260594.6	34709.02	289214.28	202016.14	281950.56	13502.615	305970.38	255476.61	1000.0	1000.0	395999	896.36945	896.369	-892.55396	394.08597	3.9955502	1.2306513	20564.68201303482
100	276750.88	7883.2666	287178.44	267749.28	253455.92	30320.123	284271.7	200542.97	1000.0	1000.0	399999	900.99774	900.9989	-896.93365	397.8326	4.0036373	1.291314	20795.326035022736
101	268837.56	21158.22	285142.28	233154.0	240545.03	40017.332	290740.75	168255.53	1000.0	1000.0	403999	905.0618	905.0619	-901.15625	405.42255	3.9978015	1.2539195	21027.544890403748
102	246245.1	42078.246	291157.47	177669.77	243439.28	35590.82	294811.62	186651.28	1000.0	1000.0	407999	911.53503	911.5347	-907.4356	405.25336	3.9999635	1.3142505	21260.019687891006
