Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	$\alpha$	Stdalpha	Maxalpha	Minalpha	Time
56	141173.16	4973.5796	147240.45	134446.16	157170.66	2336.001	160648.12	152644.22	1000.0	1000.0	223999	483.0448	483.0472	-479.56418	81.57929	1.5711418	0.07160267	1.834444	1.3075205	1.7999997	2.3841858e-07	1.8	1.8	14201.668090105057
57	141914.66	3091.111	146985.52	138682.53	155140.1	7151.27	162618.6	134879.03	1000.0	1000.0	227999	485.25943	485.26016	-481.78436	81.70919	1.5972006	0.06602728	1.8270396	1.390223	1.7999997	2.3841858e-07	1.8	1.8	14451.738352537155
58	133018.11	26448.139	153459.88	87930.26	142151.95	25212.63	159288.1	78719.6	1000.0	1000.0	231999	488.5916	488.59296	-485.10306	81.76411	1.6483278	0.085603625	2.0051727	1.3663934	1.7999997	2.3841858e-07	1.8	1.8	14700.914525032043
59	143263.39	3898.052	147333.36	137672.92	158953.88	5068.493	167114.38	147457.66	1000.0	1000.0	235999	491.72183	491.72327	-488.2075	81.40911	1.6316794	0.06724473	1.8934709	1.3762991	1.7999997	2.3841858e-07	1.8	1.8	14950.090267419815
60	148845.28	1302.2643	150350.4	147296.38	156956.34	9045.292	165598.12	136341.44	1000.0	1000.0	239999	495.61295	495.61536	-492.10275	83.01519	1.6667265	0.08875111	1.9686996	1.4036366	1.7999997	2.3841858e-07	1.8	1.8	15201.61840891838
61	141870.88	3263.1367	147393.8	139226.58	158120.05	4649.5615	162992.94	146505.98	1000.0	1000.0	243999	498.76953	498.77036	-495.22656	82.91753	1.6018099	0.0680528	1.8371162	1.3745241	1.7999997	2.3841858e-07	1.8	1.8	15453.964642763138
62	150555.06	1967.2634	152382.39	147697.11	156431.47	6957.6465	164161.9	138701.44	1000.0	1000.0	247999	500.61676	500.61835	-497.07175	82.69052	1.6472633	0.07554299	1.9508874	1.3348792	1.7999997	2.3841858e-07	1.8	1.8	15706.8401491642
63	140030.44	13494.979	151017.92	117200.78	157951.77	4254.4053	161657.97	146571.08	1000.0	1000.0	251999	503.04608	503.04733	-499.49866	81.96629	1.635265	0.07478739	1.9616805	1.3743979	1.7999997	2.3841858e-07	1.8	1.8	15958.099858522415
64	145400.39	1625.656	147662.16	143760.23	159328.1	3120.548	164536.0	153641.02	1000.0	1000.0	255999	506.011	506.0125	-502.4576	81.624344	1.6246809	0.074936494	1.9337792	1.3903959	1.7999997	2.3841858e-07	1.8	1.8	16209.592129468918
65	150373.31	3586.5918	155929.11	145902.16	150837.81	24936.113	163937.05	78342.52	1000.0	1000.0	259999	508.60925	508.61096	-505.04315	81.59565	1.6572407	0.06948972	1.9461918	1.4407153	1.7999997	2.3841858e-07	1.8	1.8	16461.74789571762
66	144800.75	4765.806	151630.6	138451.47	150709.92	28002.104	169427.23	85343.98	1000.0	1000.0	263999	511.5728	511.57336	-507.98767	81.60481	1.6594795	0.067160755	1.9146215	1.4330814	1.7999997	2.3841858e-07	1.8	1.8	16712.527666330338
67	148379.83	2778.9932	152223.02	144367.19	149086.69	28455.012	181416.34	89757.6	1000.0	1000.0	267999	514.71533	514.7174	-511.1138	83.258	1.6867615	0.06747707	1.9265378	1.4328818	1.7999997	2.3841858e-07	1.8	1.8	16965.571986198425
68	150214.31	3238.1301	155775.17	148011.53	160305.28	4869.387	166606.39	147719.05	1000.0	1000.0	271999	516.8824	516.8839	-513.29047	82.98162	1.6477969	0.07570068	1.9756166	1.4133528	1.7999997	2.3841858e-07	1.8	1.8	17217.17355775833
