Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	alpha	Time
126	221303.36	18712.107	244845.03	192972.23	212024.16	43282.93	251807.86	87461.445	1000.0	1000.0	503999	773.60254	773.6043	-768.19525	343.06952	3.9975634	1.2538974	29637.092616319656
127	211607.44	18989.994	236247.7	183166.8	230853.17	18739.076	263958.3	206402.53	1000.0	1000.0	507999	774.8614	774.86145	-769.58575	336.93463	4.002694	1.2117417	29869.535961151123
128	215491.14	26418.299	234340.7	170134.78	210234.78	36842.645	237444.36	108182.26	1000.0	1000.0	511999	776.55426	776.5579	-771.1985	343.7845	3.9977608	1.2431039	30105.41198658943
129	214671.81	23356.223	241833.08	189777.5	233228.08	14587.108	257405.16	207388.22	1000.0	1000.0	515999	778.0392	778.03766	-772.5745	344.62036	4.0009565	1.2629402	30341.18971633911
130	217998.73	20107.742	239299.77	187325.4	221516.78	17758.975	256901.81	192120.0	1000.0	1000.0	519999	779.92285	779.9231	-774.5669	344.88785	4.0006514	1.2429198	30575.015543699265
131	235203.34	9680.325	246793.39	224941.97	222331.53	22135.383	258833.17	193037.8	1000.0	1000.0	523999	781.22034	781.2204	-775.8878	347.50946	3.9992192	1.2051911	30810.9297311306
132	223567.19	14357.376	245471.92	205181.58	225963.75	14608.343	249165.19	204388.89	1000.0	1000.0	527999	781.7026	781.7032	-776.3104	340.01785	4.0009203	1.2163633	31045.53126335144
133	239347.22	17192.28	257963.53	220420.64	236263.33	13950.276	262231.75	215270.64	1000.0	1000.0	531999	783.0651	783.0636	-777.5765	333.66498	3.9960742	1.2372868	31278.748010873795
134	220321.19	19139.072	246108.89	192107.77	229761.25	15999.8	256379.14	194696.5	1000.0	1000.0	535999	782.76245	782.76215	-777.369	332.46683	3.999609	1.204697	31513.411880731583
135	212463.66	12414.723	232793.52	202310.98	231019.38	14033.912	247143.52	199536.86	1000.0	1000.0	539999	783.12427	783.1244	-777.9402	341.30334	3.9995399	1.1634129	31748.58097434044
136	244627.95	13992.978	267460.34	232360.78	233226.08	25569.264	257568.12	162542.28	1000.0	1000.0	543999	784.62354	784.6221	-779.0908	346.25156	4.0070405	1.2340263	31983.0315618515
137	240434.92	12553.621	253742.83	226186.88	238867.2	8255.922	246438.39	217421.55	1000.0	1000.0	547999	785.41376	785.4137	-779.9243	349.98523	3.995132	1.2300203	32218.69900918007
138	253463.38	9246.256	261857.53	238142.08	238668.75	20999.152	255574.8	183930.39	1000.0	1000.0	551999	786.6593	786.6622	-781.03	351.60626	3.9980984	1.2579294	32451.45930814743
139	237528.33	16814.53	252976.62	209408.67	224011.7	11200.475	243237.97	206095.98	1000.0	1000.0	555999	788.8669	788.86786	-782.96686	357.91467	4.0049815	1.3395418	32687.98521256447
140	235682.44	10232.349	247660.05	224493.4	223787.55	18707.596	255290.83	202946.55	1000.0	1000.0	559999	790.71576	790.7163	-784.9956	352.2185	3.99877	1.2745074	32925.53873062134
