Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
50	4145.9634	98.19483	4311.0034	4070.266	4452.988	83.76822	4562.402	4291.6553	1000.0	1000.0	199999	368.00104	368.00076	-367.18588	15.054574	0.8723823	0.04223986	1.0319484	0.70825696	1.5039666	0.040186465	1.6258091	1.4315884	4137.247737646103
51	4207.3975	48.48077	4274.5293	4137.5923	4533.095	63.431515	4625.369	4441.324	1000.0	1000.0	203999	370.28705	370.2872	-369.47818	14.862965	0.8796625	0.04308994	1.0374261	0.7333139	1.4841377	0.024833836	1.5455972	1.4297128	4219.599542856216
52	4200.4966	76.03052	4264.4897	4071.0522	4505.37	78.900665	4636.677	4351.554	1000.0	1000.0	207999	372.38495	372.38467	-371.57767	14.742279	0.88076335	0.04285126	1.0437493	0.7245061	1.4594592	0.034670077	1.5467082	1.394537	4301.747659921646
53	4334.993	121.17469	4490.3945	4183.892	4607.8296	58.414333	4693.4365	4494.61	1000.0	1000.0	211999	374.23483	374.23468	-373.38693	15.386838	0.8796473	0.042691138	1.0397254	0.73551756	1.5116398	0.027568365	1.5938789	1.4260061	4385.490257263184
54	4216.9473	80.487625	4345.048	4138.4346	4638.4346	74.34807	4748.5396	4508.9575	1000.0	1000.0	215999	376.21683	376.21692	-375.3624	15.656905	0.8837864	0.044045772	1.0587032	0.737584	1.5197219	0.03121689	1.6034735	1.460296	4469.949515104294
55	4293.081	53.614502	4343.805	4203.051	4580.5654	121.55565	4768.015	4396.986	1000.0	1000.0	219999	378.58023	378.58005	-377.741	15.696545	0.89951855	0.045231976	1.070863	0.7628835	1.4917026	0.04971581	1.607681	1.3967377	4553.129606723785
56	4238.9062	103.81654	4397.7256	4146.035	4804.3027	103.78249	4919.5522	4574.6216	1000.0	1000.0	223999	380.97665	380.97665	-380.11664	15.923347	0.8997139	0.044713743	1.0833635	0.748756	1.5212746	0.027822584	1.5942109	1.4509616	4637.393587589264
57	4264.448	51.05763	4325.5527	4184.66	4724.6655	82.88532	4924.317	4599.0283	1000.0	1000.0	227999	382.99637	382.9965	-382.1507	15.955086	0.90485173	0.045807604	1.0800878	0.73747087	1.5070393	0.03982108	1.6090902	1.3766673	4721.803314447403
58	4316.2754	73.940155	4419.743	4215.939	4757.449	86.68596	4907.569	4648.723	1000.0	1000.0	231999	385.26562	385.26553	-384.40887	15.9983835	0.9145426	0.04685858	1.1027453	0.7648573	1.5024533	0.04164602	1.6139883	1.3916676	4806.660312175751
59	4399.963	44.56046	4447.1646	4331.109	4820.711	65.612656	4917.277	4703.4937	1000.0	1000.0	235999	387.6798	387.67975	-386.82968	15.662658	0.923418	0.045561455	1.1032948	0.7624965	1.4923878	0.038036667	1.6205012	1.4017793	4891.910507678986
