Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Averagemmd_entropy	Stdmmd_entropy	Maxmmd_entropy	Minmmd_entropy	Averagealpha	Stdalpha	Maxalpha	Minalpha	Time
51	3264.9966	200.58199	3406.1562	2918.801	3169.1042	20.173115	3215.1724	3148.411	1000.0	1000.0	203999	235.27452	235.2747	-235.11005	8.739865	1.7014173	0.04959628	1.8845325	1.5238433	0.3749087	0.017878368	0.41167966	0.3410358	4661.618725299835
52	3051.1035	157.63362	3261.4836	2871.918	3305.3691	88.105644	3481.5166	3184.9128	1000.0	1000.0	207999	238.0779	238.07787	-237.95782	8.519606	1.6985178	0.055513434	1.9319599	1.5258425	0.35631502	0.037991453	0.4360418	0.29763144	4753.109563827515
53	3215.108	144.60268	3336.224	2970.4202	3463.7722	106.27741	3637.5	3305.3376	1000.0	1000.0	211999	241.28767	241.28758	-241.18005	9.01208	1.7005461	0.050361935	1.8738134	1.511057	0.36516845	0.013043106	0.3857455	0.33382818	4844.796327590942
54	3187.9553	82.69543	3306.3381	3088.8335	3351.4458	105.8502	3489.4539	3150.571	1000.0	1000.0	215999	244.3856	244.38562	-244.21562	8.719691	1.6995081	0.054445792	1.9195888	1.4899293	0.39500782	0.018670553	0.4259176	0.3544197	4936.4967658519745
55	3198.1003	79.74055	3309.1401	3099.3037	3155.4114	154.05876	3280.5999	2781.7595	1000.0	1000.0	219999	246.80452	246.8047	-246.64197	8.652441	1.6996757	0.052662183	1.8638636	1.4951377	0.36352536	0.018716766	0.4056752	0.3270791	5028.965573549271
56	3310.1667	110.687256	3452.1555	3183.832	3401.614	88.22205	3486.7617	3198.2742	1000.0	1000.0	223999	248.49435	248.49435	-248.29437	8.899089	1.70032	0.053031705	1.8829328	1.4972028	0.3777436	0.024629759	0.42406678	0.33021563	5120.2912774086
57	3175.1504	131.86858	3316.3423	2978.38	3258.6262	18.778532	3307.861	3229.451	1000.0	1000.0	227999	250.5916	250.59167	-250.42125	8.709989	1.6985742	0.052790917	1.9426045	1.5155665	0.35490328	0.023848228	0.40964067	0.31468302	5212.264237642288
58	3223.111	229.99327	3473.35	2885.6519	2955.0547	115.877945	3220.2788	2823.8691	1000.0	1000.0	231999	252.53139	252.53142	-252.40869	8.812984	1.7003691	0.051842127	1.9034345	1.5006818	0.3351059	0.018561956	0.38400224	0.3029977	5303.732138156891
59	3196.4631	248.2806	3437.0127	2814.9397	3247.9622	56.83009	3330.9946	3158.9417	1000.0	1000.0	235999	254.24397	254.244	-254.06767	8.715703	1.7001512	0.05219993	1.8707085	1.5226562	0.35565498	0.014694185	0.40104932	0.33004418	5395.575431108475
60	3243.5842	110.907234	3420.8218	3115.1824	3129.9258	93.370735	3223.6184	2886.416	1000.0	1000.0	239999	255.63892	255.63884	-255.44987	8.606902	1.7005666	0.055109266	1.9119773	1.5107116	0.35256726	0.019055305	0.40361843	0.32181922	5487.454057455063
